date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,life_expectancy,human_development_index
2020-02-15,8.0,5.0,7.0,12.0,5.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-16,1.0,-1.0,-2.0,5.0,6.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-17,1.0,0.0,8.0,5.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-18,0.0,-2.0,9.0,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-19,-4.0,-8.0,7.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-20,-3.0,-5.0,5.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-21,1.0,-2.0,3.0,9.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-22,4.0,3.0,11.0,16.0,3.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-23,0.0,-2.0,2.0,5.0,0.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-24,-4.0,-5.0,6.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-25,-2.0,-3.0,8.0,1.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-26,3.0,-1.0,2.0,7.0,2.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-27,-1.0,-1.0,0.0,9.0,2.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-28,3.0,-3.0,10.0,9.0,-1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-29,-3.0,-5.0,7.0,3.0,-10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-01,-4.0,-1.0,-5.0,14.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-02,-4.0,-1.0,2.0,5.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-03,-2.0,0.0,2.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-04,5.0,3.0,2.0,9.0,3.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05,-1.0,-2.0,1.0,8.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,4.0,4.0,3.0,12.0,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-07,12.0,10.0,15.0,23.0,5.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-08,8.0,4.0,4.0,17.0,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,2.0,1.0,9.0,7.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-10,2.0,-2.0,8.0,4.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,3.0,-1.0,4.0,7.0,3.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,-1.0,-4.0,0.0,9.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,0.0,-2.0,6.0,6.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-14,5.0,10.0,7.0,17.0,11.0,-1.0,1.0,1.0,,,,,0.075,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.09,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-03-15,-13.0,-1.0,-7.0,-8.0,1.0,6.0,1.0,0.0,,,,,0.075,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.09,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-03-16,-11.0,0.0,9.0,-2.0,-14.0,7.0,5.0,4.0,,,,,0.377,0.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-03-17,-19.0,-12.0,4.0,-13.0,-21.0,9.0,7.0,2.0,,,,,0.527,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-03-18,-19.0,-14.0,-2.0,-15.0,-24.0,8.0,8.0,1.0,,,,,0.603,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-03-19,-23.0,-14.0,-1.0,-13.0,-24.0,10.0,8.0,0.0,,,,,0.603,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-03-20,-25.0,-18.0,1.0,-22.0,-24.0,10.0,17.0,9.0,2.4290000000000003,,,,1.28,0.6779999999999999,0.183,,,,,,,,,,,,,,,,,,,,,,,,,,,42.59,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-03-21,-25.0,-13.0,-3.0,-27.0,-8.0,8.0,17.0,0.0,2.286,,,,1.28,0.0,0.172,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-03-22,-46.0,-31.0,-15.0,-60.0,-24.0,16.0,19.0,2.0,2.571,,,,1.431,0.151,0.19399999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-03-23,-52.0,-45.0,-1.0,-68.0,-58.0,26.0,36.0,17.0,4.428999999999999,,,,2.7119999999999997,1.28,0.33399999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-03-24,-58.0,-56.0,-4.0,-71.0,-63.0,29.0,40.0,4.0,4.7139999999999995,,,,3.013,0.301,0.355,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-03-25,-57.0,-57.0,-12.0,-72.0,-64.0,28.0,41.0,1.0,4.7139999999999995,,,,3.088,0.075,0.355,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-03-26,-60.0,-58.0,-16.0,-73.0,-63.0,29.0,50.0,9.0,6.0,,,,3.766,0.6779999999999999,0.452,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-03-27,-62.0,-61.0,-11.0,-76.0,-62.0,34.0,54.0,4.0,5.2860000000000005,,,,4.067,0.301,0.39799999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-03-28,-58.0,-55.0,-12.0,-73.0,-43.0,22.0,60.0,6.0,6.143,,,,4.519,0.452,0.46299999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-03-29,-56.0,-57.0,-18.0,-75.0,-31.0,22.0,70.0,10.0,7.2860000000000005,,,,5.272,0.753,0.5489999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-03-30,-57.0,-53.0,-7.0,-75.0,-61.0,29.0,70.0,0.0,4.857,,,,5.272,0.0,0.366,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-03-31,-58.0,-57.0,-6.0,-73.0,-61.0,29.0,75.0,5.0,5.0,,,,5.649,0.377,0.377,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-04-01,-60.0,-56.0,-7.0,-71.0,-60.0,27.0,82.0,7.0,5.857,,,,6.176,0.527,0.441,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-04-02,-60.0,-55.0,-14.0,-71.0,-60.0,29.0,84.0,2.0,4.857,,,,6.327000000000001,0.151,0.366,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-04-03,-62.0,-58.0,-11.0,-75.0,-59.0,32.0,89.0,5.0,5.0,,,,6.704,0.377,0.377,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-04-04,-58.0,-54.0,-13.0,-72.0,-37.0,22.0,102.0,13.0,6.0,,,,7.683,0.9790000000000001,0.452,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-04-05,-60.0,-54.0,-18.0,-75.0,-26.0,21.0,104.0,2.0,4.857,,,,7.832999999999999,0.151,0.366,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-04-06,-58.0,-54.0,-2.0,-73.0,-58.0,30.0,105.0,1.0,5.0,,,,7.909,0.075,0.377,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-04-07,-71.0,-76.0,-9.0,-80.0,-73.0,36.0,105.0,0.0,4.2860000000000005,,,,7.909,0.0,0.32299999999999995,,,,0.37,,6507.0,0.49,,,,,,samples tested,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-04-08,-59.0,-54.0,-11.0,-73.0,-59.0,28.0,110.0,5.0,4.0,,,,8.285,0.377,0.301,,,,0.41,772.0,7279.0,0.5479999999999999,0.057999999999999996,,,,,samples tested,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-04-09,-63.0,-60.0,-14.0,-73.0,-60.0,32.0,110.0,0.0,3.714,,,,8.285,0.0,0.28,,,,0.45,720.0,7999.0,0.602,0.054000000000000006,,,,,samples tested,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-04-10,-67.0,-64.0,-13.0,-77.0,-65.0,38.0,118.0,8.0,4.143,,,,8.888,0.603,0.312,,,,0.5,1036.0,9035.0,0.6809999999999999,0.078,,,,,samples tested,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-04-11,-62.0,-56.0,-14.0,-72.0,-37.0,25.0,120.0,2.0,2.571,,,,9.039,0.151,0.19399999999999998,,,,0.51,842.0,9877.0,0.7440000000000001,0.063,,,,,samples tested,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-04-12,-62.0,-59.0,-21.0,-77.0,-27.0,24.0,126.0,6.0,3.1430000000000002,,,,9.49,0.452,0.237,,,,0.53,1160.0,11037.0,0.831,0.087,,,,,samples tested,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-04-13,-67.0,-69.0,-12.0,-78.0,-68.0,37.0,127.0,1.0,3.1430000000000002,,,,9.566,0.075,0.237,,,,0.53,901.0,11938.0,0.899,0.068,,,,,samples tested,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-04-14,-61.0,-58.0,-16.0,-74.0,-58.0,31.0,134.0,7.0,4.143,,,,10.093,0.527,0.312,,,,0.57,983.0,12921.0,0.973,0.07400000000000001,916.0,0.069,0.0045,221.1,samples tested,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-04-15,-59.0,-56.0,-20.0,-73.0,-57.0,29.0,136.0,2.0,3.714,,,,10.244000000000002,0.151,0.28,,,,0.57,923.0,13844.0,1.043,0.07,938.0,0.071,0.004,252.6,samples tested,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-04-16,-61.0,-59.0,-15.0,-74.0,-58.0,30.0,138.0,2.0,4.0,,,,10.394,0.151,0.301,,,,0.59,664.0,14508.0,1.093,0.05,930.0,0.07,0.0043,232.5,samples tested,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-04-17,-64.0,-62.0,-17.0,-76.0,-58.0,32.0,143.0,5.0,3.571,,,,10.770999999999999,0.377,0.26899999999999996,,,,0.61,760.0,15268.0,1.15,0.057,890.0,0.067,0.004,249.2,samples tested,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-04-18,-63.0,-61.0,-25.0,-73.0,-37.0,25.0,144.0,1.0,3.429,,,,10.845999999999998,0.075,0.258,,,,0.6,712.0,15980.0,1.204,0.054000000000000006,872.0,0.066,0.0039,254.3,samples tested,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-04-19,-61.0,-60.0,-28.0,-76.0,-25.0,24.0,147.0,3.0,3.0,,,,11.072000000000001,0.226,0.226,,,,0.61,722.0,16702.0,1.258,0.054000000000000006,809.0,0.061,0.0037,269.7,samples tested,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-04-20,-61.0,-58.0,-19.0,-72.0,-58.0,32.0,147.0,0.0,2.8569999999999998,,,,11.072000000000001,0.0,0.215,,,,0.63,1299.0,18001.0,1.3559999999999999,0.098,866.0,0.065,0.0033,303.1,samples tested,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-04-21,-62.0,-60.0,-15.0,-73.0,-57.0,30.0,150.0,3.0,2.286,,,,11.298,0.226,0.172,,,,0.7,1449.0,19450.0,1.465,0.109,933.0,0.07,0.0025,408.1,samples tested,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-04-22,-64.0,-62.0,-20.0,-72.0,-59.0,30.0,153.0,3.0,2.4290000000000003,,,,11.524000000000001,0.226,0.183,,,,0.77,1038.0,20488.0,1.5430000000000001,0.078,949.0,0.071,0.0026,390.7,samples tested,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-04-23,-65.0,-62.0,-22.0,-73.0,-58.0,32.0,154.0,1.0,2.286,,,,11.599,0.075,0.172,,,,0.84,1343.0,21831.0,1.6440000000000001,0.10099999999999999,1046.0,0.079,0.0022,457.6,samples tested,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-04-24,-65.0,-61.0,-13.0,-74.0,-56.0,34.0,176.0,22.0,4.7139999999999995,,,,13.255999999999998,1.6569999999999998,0.355,,,,0.93,1046.0,22877.0,1.723,0.079,1087.0,0.08199999999999999,0.0043,230.6,samples tested,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-04-25,-64.0,-60.0,-18.0,-72.0,-35.0,25.0,183.0,7.0,5.571000000000001,,,,13.784,0.527,0.42,,,,1.02,1275.0,24152.0,1.819,0.096,1167.0,0.08800000000000001,0.0048,209.5,samples tested,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-04-26,-63.0,-60.0,-24.0,-75.0,-22.0,24.0,191.0,8.0,6.2860000000000005,,,,14.386,0.603,0.473,,,,1.1,1025.0,25177.0,1.896,0.077,1211.0,0.091,0.0052,192.7,samples tested,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-04-27,-64.0,-61.0,-15.0,-73.0,-56.0,32.0,207.0,16.0,8.571,,,,15.591,1.205,0.6459999999999999,,,,1.17,1214.0,26391.0,1.9880000000000002,0.091,1199.0,0.09,0.0071,139.9,samples tested,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-04-28,-61.0,-58.0,-10.0,-71.0,-56.0,28.0,212.0,5.0,8.857000000000001,,,,15.968,0.377,0.667,,,,1.14,1505.0,27896.0,2.101,0.113,1207.0,0.091,0.0073,136.3,samples tested,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-04-29,-63.0,-60.0,-20.0,-71.0,-57.0,30.0,225.0,13.0,10.286,,,,16.947,0.9790000000000001,0.775,,,,1.15,1705.0,29601.0,2.23,0.128,1302.0,0.098,0.0079,126.6,samples tested,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-04-30,-62.0,-58.0,-17.0,-69.0,-55.0,30.0,243.0,18.0,12.714,,,,18.303,1.3559999999999999,0.958,,,,1.12,1140.0,30741.0,2.315,0.086,1273.0,0.096,0.01,100.1,samples tested,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-05-01,-65.0,-63.0,-18.0,-74.0,-61.0,33.0,249.0,6.0,10.429,,,,18.755,0.452,0.785,,,,0.98,1365.0,32106.0,2.418,0.10300000000000001,1318.0,0.099,0.0079,126.4,samples tested,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-05-02,-64.0,-59.0,-22.0,-71.0,-32.0,25.0,255.0,6.0,10.286,,,,19.207,0.452,0.775,,,,0.86,1197.0,33303.0,2.508,0.09,1307.0,0.098,0.0079,127.1,samples tested,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-05-03,-62.0,-56.0,-23.0,-75.0,-19.0,23.0,259.0,4.0,9.714,,,,19.508,0.301,0.732,,,,0.76,1047.0,34350.0,2.5869999999999997,0.079,1310.0,0.099,0.0074,134.9,samples tested,,,,,,,,,,,,,,90.74,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-05-04,-35.0,-21.0,-6.0,-43.0,-36.0,18.0,261.0,2.0,7.7139999999999995,,,,19.659000000000002,0.151,0.581,,,,0.69,746.0,35096.0,2.6430000000000002,0.055999999999999994,1244.0,0.094,0.0062,161.3,samples tested,,,,,,,,,,,,,,73.15,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-05-05,-36.0,-25.0,-3.0,-40.0,-35.0,16.0,261.0,0.0,7.0,,,,19.659000000000002,0.0,0.527,,,,0.66,896.0,35992.0,2.7110000000000003,0.067,1157.0,0.087,0.0061,165.3,samples tested,,,,,,,,,,,,,,73.15,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-05-06,-33.0,-23.0,-10.0,-39.0,-35.0,16.0,268.0,7.0,6.143,,,,20.186,0.527,0.46299999999999997,,,,0.68,1323.0,37315.0,2.8110000000000004,0.1,1102.0,0.083,0.0056,179.4,samples tested,,,,,,,,,,,,,,73.15,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-05-07,-36.0,-27.0,-15.0,-35.0,-34.0,17.0,271.0,3.0,4.0,,,,20.412,0.226,0.301,,,,0.68,1519.0,38834.0,2.925,0.114,1156.0,0.087,0.0035,289.0,samples tested,,,,,,,,,,,,,,73.15,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-05-08,-37.0,-28.0,-12.0,-42.0,-32.0,18.0,273.0,2.0,3.429,,,,20.563000000000002,0.151,0.258,,,,0.68,1353.0,40187.0,3.0269999999999997,0.102,1154.0,0.087,0.003,336.5,samples tested,,,,,,,,,,,,,,73.15,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-05-09,-34.0,-22.0,-11.0,-40.0,-10.0,12.0,280.0,7.0,3.571,,,,21.09,0.527,0.26899999999999996,,,,0.68,1198.0,41385.0,3.117,0.09,1155.0,0.087,0.0031,323.4,samples tested,,,,,,,,,,,,,,73.15,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-05-10,-42.0,-29.0,-17.0,-51.0,-9.0,14.0,284.0,4.0,3.571,,,,21.391,0.301,0.26899999999999996,,,,0.63,1040.0,42425.0,3.195,0.078,1154.0,0.087,0.0031,323.2,samples tested,,,,,,,,,,,,,,73.15,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
2020-05-11,-33.0,-23.0,-10.0,-37.0,-30.0,16.0,285.0,1.0,3.429,,,,21.465999999999998,0.075,0.258,,,,0.59,380.0,42805.0,3.2239999999999998,0.028999999999999998,1101.0,0.083,0.0031,321.1,samples tested,,,,,,,,,,,,,,73.15,13276517.0,494.869,20.3,2.9739999999999998,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,69.02,0.5429999999999999
